"id","series_id","series_number","accepted_by","image_data","created_at","updated_at","requested_by"
"019bbcb1-a99b-706c-90db-dc824bf45822","019bbcb1-a21e-70b5-af5d-c1897ded4edd","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/rHiSqgnDs5VJzb6VT6KVXew8M8RxLOtDZWZ4cRUi.jpg","2026-01-14 13:28:38","2026-01-14 13:28:38","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcb1-b25f-7050-80af-c6607275cf3f","019bbcb1-a21e-70b5-af5d-c1897ded4edd","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/vVXx5FvSCeNGVaJqeeatpyi3qI60ygBzuJCQKHzy.jpg","2026-01-14 13:28:40","2026-01-14 13:28:40","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcb1-b8d8-735d-935d-24a452613d6d","019bbcb1-a21e-70b5-af5d-c1897ded4edd","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/t5YKirVyfpKEr6UmYQbhWeZctsTohwt4hbsi9MUe.jpg","2026-01-14 13:28:42","2026-01-14 13:28:42","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcb2-b33e-71ab-8a7b-96fe2fceab06","019bbcb2-acbf-73dd-988e-1ce1a40e0cd9","4","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/8cq7BGHCALJdEA2zmhxPoBxfBy1QhsCfEHi1CFGH.jpg","2026-01-14 13:29:46","2026-01-14 13:29:46","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcb3-7e6d-7099-880d-2e2d325ca8c2","019bbcb3-7782-72ae-819c-4acb90715f71","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/H2Z4XxoCvmyWGNJpjrZE7uSWZAXq0qPKwng7aKYP.jpg","2026-01-14 13:30:38","2026-01-14 13:30:38","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcb9-91be-728a-ba67-bfd962d5185b","019bbcb9-8850-7033-93a6-00cc86d5eb52","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/8RWatb7UvI4bnoSMDzVOfm1WoXBJnRnYzXgIdjRK.jpg","2026-01-14 13:37:16","2026-01-14 13:37:16","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcbb-d916-7385-a176-cb35f8bd58e1","019bbcbb-d2fa-701b-9e94-52dba2917e1d","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/EPki7TVfjeUU7cqPPNGe2WbHKBnVWGrdtquzO872.jpg","2026-01-14 13:39:46","2026-01-14 13:39:46","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbcbd-9af9-7334-a1d8-bddff2c52a5c","019bbcbd-9457-70e3-9ec4-94193df7d3e8","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/moem7mUC38aFI8oMHKFdP7P3WYGf1DL9Ggj1RN3g.jpg","2026-01-14 13:41:41","2026-01-14 13:41:41","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd0f-c3ed-7376-9ff0-609b177e826c","019bbd0f-be61-70a2-900e-a61b08c7d11c","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/wB1IysFo7GQlHXE4OtCy6zF3FKC8H0IoA7XTBy3p.jpg","2026-01-14 15:11:25","2026-01-14 15:11:25","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd0f-cae1-72fa-8889-f80f897ed538","019bbd0f-be61-70a2-900e-a61b08c7d11c","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/UPDbKhl9lARsyrh6UsmBRIzCvWoNfg55azgA1rdI.jpg","2026-01-14 15:11:27","2026-01-14 15:11:27","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd13-462c-7175-b343-78f588c0d3ca","019bbc7a-b0e5-73e2-8e2d-c8306ecae208","6","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/pnvd1OipSqhGVtXt3sWarTQhkfNiad7pB8JbmELK.jpg","2026-01-14 15:15:15","2026-01-14 15:15:15","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
